Index,Reviews
1, Alexa cannot hear after she starts playing
2,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly."
3,"/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy."
4, Do not buy this product. When i asked alexa that kashmir is part of which country it said china.Boycott alexa
5,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory
6, Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you
7,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products."
8,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now"
9," Works beautifully, have bought 3 to link the entire house. Frequently group and play them together, use drop in to create an intercom, and have linked to speakers, bulbs, TV and other gadgets. I would still give this only 3 stars because it is double the rate here in India compared to the US. A country with 25 TIMES India's per capita income. What is this pricing Amazon? I understand there may be taxes in India but still. 2X the price ?This not withstanding will buy a larger Echo speaker whenever there is a sale on Echo with reasonable prices."
10,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late
11,"I was quite confused between echo dot 3rd & 4th Gen so bought both to try and after testing, I choose 3rd Gen bcoz of following reasons.1. Very responsive to voice command in comparison to 4th Gen.2. Only 1-1.5 scale down from 4th Gen in sound and bass quality.3. I prefer 3rd Gen hockey puck design than 4th Gen round shape (personal preference).4. For higher audio quality and output one can always use external speakers via aux cable.5. Can integrate with Google even via bluetooth.6. Easy to place anywhere without any scope of rolling off.7. LED ring light looks distinctive on top than bottom (4th Gen) bcoz one can't see its 360° view.8. Plays soft music prity well than hard.9. Can fit into confined space.10. Also paid only ₹1999.What more one can ask for."
12," Bought this and wipro 9w smart bulb in combo offer. Configured smart bulb in alexa. Cool thats it.Just say ""alexa, lights on"", ""alexa, turn light to red / blue"" etc.. you can alse even change the brightness ""alexa, change the brightness to 50%"" etc. You will get the manual within the wipro bulb box. There you can see the list of commands.Lets see the other options of echo dot. I connected this to home theater. It is just playing songs from any music station, my playlist. Tried these 2 options only. Mostly i play rhymes. Around INR 2500, i got this combo. Worth to play around."
13,"me ""Alexa,  play .... "". Alexa ""Sorry, I do not know that""me ""Alexa,  play .... "". Alexa ""Sorry, I could not find that""me ""Alexa,  play .... "". Alexa ""Sorry, I don't recognize it""search capabilities of Alexa sucks!! Even when I read out the playlist names as they are on Amazon Music, Alexa can't find those playlists. Alexa know a standard playlists like 90s bollywood, bollywood hits etc., If you are looking for Kannada playlists or for that matter any local language lists, Alexa just does not know...me ""Alexa, I have feedback"" ""You really suck!!"""
14,"""Worst experience brought it on 12th August already stopped working since 25th September @Amazon what should be done suggest""This was my previous review but now i am amazed with customer service i got from Amazon. The adaptor for Alexa was faulty..so after the review Amazon came to know about my problem and without any delay they help me with a new adaptor without any cost.In this way within a day my issue is resolved. Thankyou Mr.Aman for your promp response and solution will never forget it.so all these stars are not for Alexa now but for Amazon 🙂u won my ❤️"
15,"This review is for the Echo dot (3rd gen).On the Hardware front, the device is quite good(maybe best in the market) at this price, only one thing I would want it to have is a battery inside as you have to connect it to a power source always, which makes it less portable and for scenarios when there is an electricity cut (well we live in India-a developing country, here many areas even in the top cities don't have 24 hrs of electricity, Amazon would have considered this)The software front is just average.If you have used google assistant(Ok Google) on mobile/any device then you can think as Alexa answers just around 50% efficiently compared to google assistant (according to me). Alexa doesn't understand follow-ups like google assistant, every time you have to say ""Alexa"" first for everything, and it also doesn't understand many basic questions (like what are the flights from Jaipur to Delhi?, who played most IPL matches?-->it just says I don't know the answer), you have to be more specific in framing your query for Alexa, it is also not as good as google assistant with the Hindi language. Google Assistant is much more friendly than Alexa, with all that said I would say Alexa is about Half as smart as Google assistant.Only one thing good on the software front is it has the biggest Skills' library so you can automate/routine many things.On the last note, I would say this device is good to control smart devices in your home(like smart bulbs, plugs, appliances, etc), doing routine stuff like reordering regular things on Amazon(like grocery, etc), reorder foods, book cabs, etc. and obviously to listen to music online.I never own any google smart speaker, but with my research, I think Echo dot(3rd gen) is better on the hardware front and google nest mini(2nd gen) is better on the software front, well, it depends on you which to choose."
16,"I am returning after trying various commands for about a week. This is a recent review.Received only 2 days ago. So initial impressions.Not checked integration. Oakremote that I purchased with Echo was a flop.+ves -Voice recognition , Quick response, Family is having fun giving commands-ves: It generally plays music from Amazon music library. THE SOUND QUALITY IS NOT THAT GOOD. Sounds like 19th century radio. It works only when Wifi and Electricity are available.I am keeping it for the novelty and as a sample of future AI. Would be happy if it lasted atleast till 2022 Diwali😜"
17,"In comparison with Google voice assistant devices -1. Eco dot 3 is awesome in hardware - mic recognises voice from far away distance and bass on speaker is super.2. But software experience is pathetic due to alexa which is not even 10% of google assistant. Very limited recognition of command and that too hit or miss by alexa.3. Alexa catches one command unlike combined commands in Google assistant.4. Unproductive things like telling jokes are only features of alexa. It can't even calculate dates.On/off smart plug & reminders are the only perfectly working things with Alexa !!!In layman terms - Google is hero and Alexa is joker.Limitations in speaker -Note that only 3.5mm output is possible, so eco dot 3 can't be used as 3.5mm speaker but can be used as Bluetooth speaker.You can't use mic in Bluetooth mode. So, not usable for calls.Alexa app -is inconsistent and not user-friendly. Critical features like alexa guard are not available in India.Voice recognition -It's always hit or miss with simple commands also.I bought to play online kannada music but voice recognition is limited to Bollywood movie names or artists for Indian music.It won't recognise 99% kannada music/movie/artist names.My VERDICT -Even though I got in DEC 2021 for 2299, I'm finding it useless. My usage is restricted to on/off smart plug at water heater and reminders, as reminders with 5 out 5 times whereas it's 4/5 with Google.Alexa ignored Kannada and all other South Indian languages, so time for us to ignore alexa and go with Google devices if South Indian languages are your need.Don't waste your money on alexa voice assistant devices."
18,"worst product amazon released into market in a hurry. Here are some, if not all, of the issues:1 - No sound clarity. Even from 4 feet one cant understand what alexa saying. muffled voice2 - Limited capability. Other than weather it doesn't know any significant much. I didnt buy it for weather or switch on a bulb.3 - Dont understand english language properly.4 -Its useless overall for anything and for anyone, be it kids or adults.Amazon has a long way to go before it can make it usefull."
19," Got it with Wipro smart LED bulb bundle. In 1999 both.Pros:Solid build quality.Easy setup.Capture voice even far from 10 feet.Loud and clear sound.Bass is awesome.Easy connection to your smart LED bulb.Capture all voice just anybody called ""Alexa"". It will respond.Cons:No battery inside, you need to put in its power adapter all the time.Works only if active internet connection available.You should have wifi at home to connect all devices together."
